536.0,303.0
522.0,307.0
508.0,312.0
494.0,312.0
481.0,312.0
467.0,307.0
543.0,299.0
525.0,308.0
506.0,313.0
492.0,317.0
478.0,313.0
459.0,308.0
1096.0,2096.0
836.0,1650.0
851.0,1657.0
858.0,1657.0
873.0,1665.0
880.0,1679.0
655.0,1368.0
600.0,1408.0
561.0,1423.0
522.0,1423.0
475.0,1408.0
435.0,1361.0
1135.0,2090.0
1142.0,2119.0
1142.0,2119.0
714.0,2083.0
707.0,2083.0
714.0,2068.0
647.0,1378.0
536.0,1408.0
492.0,1408.0
456.0,1408.0
434.0,1400.0
412.0,1400.0
697.0,827.0
697.0,849.0
682.0,871.0
660.0,849.0
639.0,849.0
442.0,929.0
791.0,888.0
756.0,881.0
742.0,881.0
727.0,874.0
643.0,931.0
593.0,917.0
797.0,935.0
762.0,949.0
726.0,935.0
697.0,935.0
655.0,942.0
633.0,942.0
613.0,1394.0
564.0,1402.0
524.0,1402.0
483.0,1402.0
459.0,1402.0
435.0,1386.0
684.0,1492.0
630.0,1528.0
585.0,1546.0
550.0,1546.0
514.0,1537.0
469.0,1519.0
627.0,1506.0
584.0,1528.0
552.0,1538.0
510.0,1538.0
467.0,1538.0
436.0,1517.0
683.0,1520.0
622.0,1563.0
579.0,1581.0
535.0,1581.0
500.0,1581.0
457.0,1555.0
418.0,309.0
371.0,335.0
338.0,342.0
311.0,342.0
291.0,335.0
277.0,315.0
346.0,246.0
320.0,268.0
303.0,276.0
282.0,276.0
265.0,272.0
252.0,259.0
333.0,291.0
323.0,295.0
308.0,302.0
298.0,302.0
287.0,302.0
277.0,298.0
463.0,258.0
445.0,268.0
431.0,277.0
412.0,281.0
399.0,281.0
376.0,281.0
